season,fase,instancia,fecha,hora_inicio,hora_fin,local,visitante,marcador,global,estadio,ciudad,pais,arbitro_principal,arbitros_linea,entrenador_local,entrenador_visitante,planteles,puntuaciones_jugadores,tiros_totales,tiros_totales_local,tiros_totales_visitante,tiros_puerta,tiros_puerta_local,tiros_puerta_visitante,goles,asistencias,cambios,amarillas,rojas,posesion_local,posesion_visitante,faltas_total,faltas_local,faltas_visitante,corners_total,corners_local,corners_visitante
2012-2013,Final,Final,25-05-2013,NULL,NULL,Bayern Munich,Borussia Dortmund,2-1,NULL,Wembley,Londres,Inglaterra,NULL,NULL,Jupp Heynckes,Jurgen Klopp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mandzukic 60'; Gundogan 68'; Robben 89',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Octavos,Ida,18-02-2014,NULL,NULL,Manchester City,Barcelona,0-2,1-4,Etihad Stadium,Manchester,Inglaterra,NULL,NULL,Manuel Pellegrini,Tata Martino,NULL,NULL,19,9,10,7,3,4,NULL,NULL,NULL,NULL,NULL,32%,68%,29,19,10,5,1,4
2013-2014,Octavos,Vuelta,12-03-2014,NULL,NULL,Barcelona,Manchester City,2-1,4-1,Camp Nou,Barcelona,España,NULL,NULL,Tata Martino,Manuel Pellegrini,NULL,NULL,26,15,11,11,7,4,NULL,NULL,NULL,NULL,NULL,58%,42%,31,8,23,9,5,4
2013-2014,Octavos,Ida,19-02-2014,NULL,NULL,Arsenal,Bayern Munich,0-2,1-3,Emirates Stadium,Londres,Inglaterra,NULL,NULL,Arsene Wenger,Pep Guardiola,NULL,NULL,35,8,27,9,4,5,NULL,NULL,NULL,NULL,NULL,21%,79%,24,8,16,11,2,9
2013-2014,Octavos,Vuelta,11-03-2014,NULL,NULL,Bayern Munich,Arsenal,1-1,3-1,Allianz Arena,Munich,Alemania,NULL,NULL,Pep Guardiola,Arsene Wenger,NULL,NULL,21,14,7,9,6,3,NULL,NULL,NULL,NULL,NULL,67%,33%,29,14,15,11,6,5
2013-2014,Octavos,Ida,18-02-2014,NULL,NULL,AC Milan,Atletico Madrid,0-1,1-5,San Siro,Milán,Italia,NULL,NULL,Clarence Seedorf,Diego Simeone,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Diego Costa 83',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Octavos,Vuelta,11-03-2014,NULL,NULL,Atletico Madrid,AC Milan,4-1,5-1,Vicente Calderon,Madrid,España,NULL,NULL,Diego Simeone,Clarence Seedorf,NULL,NULL,24,13,11,9,6,3,NULL,NULL,NULL,NULL,NULL,47%,53%,27,10,17,6,3,3
2013-2014,Octavos,Ida,19-02-2014,NULL,NULL,Bayer Leverkusen,PSG,0-4,1-6,BayArena,Leverkusen,Alemania,NULL,NULL,Sami Hyypia,Laurent Blanc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Matuidi 3'; Ibrahimovic 39'; 42'; Cabaye 88',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Octavos,Vuelta,12-03-2014,NULL,NULL,PSG,Bayer Leverkusen,2-1,6-1,Parc des Princes,Paris,Francia,NULL,NULL,Laurent Blanc,Sami Hyypia,NULL,NULL,23,14,9,12,6,6,NULL,NULL,NULL,NULL,NULL,62%,38%,30,8,22,10,5,5
2013-2014,Octavos,Ida,25-02-2014,NULL,NULL,Olympiacos,Manchester United,2-0,2-3,Karaiskakis Stadium,Pireo,Grecia,NULL,NULL,Michel,David Moyes,NULL,NULL,19,12,7,5,4,1,NULL,NULL,NULL,NULL,NULL,40%,60%,20,10,10,5,1,4
2013-2014,Octavos,Vuelta,19-03-2014,NULL,NULL,Manchester United,Olympiacos,3-0,3-2,Old Trafford,Manchester,Inglaterra,NULL,NULL,David Moyes,Michel,NULL,NULL,23,10,13,8,5,3,NULL,NULL,NULL,NULL,NULL,49%,51%,31,14,17,15,8,7
2013-2014,Octavos,Ida,25-02-2014,NULL,NULL,Zenit,Borussia Dortmund,2-4,4-5,Petrovsky Stadium,San Petersburgo,Rusia,NULL,NULL,Luciano Spalletti,Jurgen Klopp,NULL,NULL,21,8,13,13,5,8,NULL,NULL,NULL,NULL,NULL,59%,41%,31,15,16,9,6,3
2013-2014,Octavos,Vuelta,19-03-2014,NULL,NULL,Borussia Dortmund,Zenit,1-2,5-4,Signal Iduna Park,Dortmund,Alemania,NULL,NULL,Jurgen Klopp,Luciano Spalletti,NULL,NULL,21,12,9,8,3,5,NULL,NULL,NULL,NULL,NULL,48%,52%,32,18,14,9,8,1
2013-2014,Octavos,Ida,26-02-2014,NULL,NULL,Galatasaray,Chelsea,1-1,1-3,Turk Telekom Arena,Estambul,Turquia,NULL,NULL,Roberto Mancini,Jose Mourinho,NULL,NULL,20,11,9,8,4,4,NULL,NULL,NULL,NULL,NULL,58%,42%,38,20,18,10,7,3
2013-2014,Octavos,Vuelta,18-03-2014,NULL,NULL,Chelsea,Galatasaray,2-0,3-1,Stamford Bridge,Londres,Inglaterra,NULL,NULL,Jose Mourinho,Roberto Mancini,NULL,NULL,23,20,3,9,9,0,NULL,NULL,NULL,NULL,NULL,49%,51%,40,20,20,7,7,0
2013-2014,Octavos,Ida,26-02-2014,NULL,NULL,Schalke 04,Real Madrid,1-6,1-9,Veltins-Arena,Gelsenkirchen,Alemania,NULL,NULL,Jens Keller,Carlo Ancelotti,NULL,NULL,31,10,21,15,4,11,NULL,NULL,NULL,NULL,NULL,43%,57%,12,9,3,8,1,7
2013-2014,Octavos,Vuelta,18-03-2014,NULL,NULL,Real Madrid,Schalke 04,3-1,9-2,Santiago Bernabeu,Madrid,España,NULL,NULL,Carlo Ancelotti,Jens Keller,NULL,NULL,37,23,14,13,10,3,NULL,NULL,NULL,NULL,NULL,57%,43%,15,7,8,11,9,2
2013-2014,Cuartos,Ida,01-04-2014,NULL,NULL,Barcelona,Atletico Madrid,1-1,2-1,Camp Nou,Barcelona,España,NULL,NULL,Tata Martino,Diego Simeone,NULL,NULL,25,19,6,8,6,2,NULL,NULL,NULL,NULL,NULL,71%,29%,40,16,24,9,8,1
2013-2014,Cuartos,Vuelta,09-04-2014,NULL,NULL,Atletico Madrid,Barcelona,1-0,2-1,Vicente Calderon,Madrid,España,NULL,NULL,Diego Simeone,Tata Martino,NULL,NULL,26,14,12,8,5,3,NULL,NULL,NULL,NULL,NULL,29%,71%,24,15,9,13,6,7
2013-2014,Cuartos,Ida,01-04-2014,NULL,NULL,Manchester United,Bayern Munich,1-1,2-4,Old Trafford,Manchester,Inglaterra,NULL,NULL,David Moyes,Pep Guardiola,NULL,NULL,22,6,16,7,4,3,NULL,NULL,NULL,NULL,NULL,26%,74%,22,12,10,10,4,6
2013-2014,Cuartos,Vuelta,09-04-2014,NULL,NULL,Bayern Munich,Manchester United,3-1,4-2,Allianz Arena,Munich,Alemania,NULL,NULL,Pep Guardiola,David Moyes,NULL,NULL,31,25,6,7,5,2,NULL,NULL,NULL,NULL,NULL,65%,35%,21,10,11,14,11,3
2013-2014,Cuartos,Ida,02-04-2014,NULL,NULL,Real Madrid,Borussia Dortmund,3-0,3-2,Santiago Bernabeu,Madrid,España,NULL,NULL,Carlo Ancelotti,Jurgen Klopp,NULL,NULL,32,20,12,13,11,2,NULL,NULL,NULL,NULL,NULL,61%,39%,16,7,9,13,6,7
2013-2014,Cuartos,Vuelta,08-04-2014,NULL,NULL,Borussia Dortmund,Real Madrid,2-0,2-3,Signal Iduna Park,Dortmund,Alemania,NULL,NULL,Jurgen Klopp,Carlo Ancelotti,NULL,NULL,22,12,10,11,6,5,NULL,NULL,NULL,NULL,NULL,51%,49%,20,10,10,6,4,2
2013-2014,Cuartos,Ida,02-04-2014,NULL,NULL,PSG,Chelsea,3-1,3-3,Parc des Princes,Paris,Francia,NULL,NULL,Laurent Blanc,Jose Mourinho,NULL,NULL,19,12,7,5,3,2,NULL,NULL,NULL,NULL,NULL,59%,41%,30,12,18,6,4,2
2013-2014,Cuartos,Vuelta,08-04-2014,NULL,NULL,Chelsea,PSG,2-0,3-3,Stamford Bridge,Londres,Inglaterra,NULL,NULL,Jose Mourinho,Laurent Blanc,NULL,NULL,27,15,12,7,4,3,NULL,NULL,NULL,NULL,NULL,52%,48%,29,18,11,8,4,4
2013-2014,Semifinal,Ida,22-04-2014,NULL,NULL,Atletico Madrid,Chelsea,0-0,3-1,Vicente Calderon,Madrid,España,NULL,NULL,Diego Simeone,Jose Mourinho,NULL,NULL,30,25,5,6,4,2,NULL,NULL,NULL,NULL,NULL,68%,32%,29,13,16,10,6,4
2013-2014,Semifinal,Vuelta,30-04-2014,NULL,NULL,Chelsea,Atletico Madrid,1-3,1-3,Stamford Bridge,Londres,Inglaterra,NULL,NULL,Jose Mourinho,Diego Simeone,NULL,NULL,29,16,13,13,5,8,NULL,NULL,NULL,NULL,NULL,48%,52%,30,12,18,13,4,9
2013-2014,Semifinal,Ida,23-04-2014,NULL,NULL,Real Madrid,Bayern Munich,1-0,5-0,Santiago Bernabeu,Madrid,España,NULL,NULL,Carlo Ancelotti,Pep Guardiola,NULL,NULL,27,9,18,9,5,4,NULL,NULL,NULL,NULL,NULL,28%,72%,20,10,10,18,3,15
2013-2014,Semifinal,Vuelta,29-04-2014,NULL,NULL,Bayern Munich,Real Madrid,0-4,0-5,Allianz Arena,Munich,Alemania,NULL,NULL,Pep Guardiola,Carlo Ancelotti,NULL,NULL,32,19,13,9,4,5,NULL,NULL,NULL,NULL,NULL,69%,31%,20,13,7,12,9,3
2013-2014,Final,Final,24-05-2014,NULL,NULL,Real Madrid,Atletico Madrid,4-1 (AET),NULL,Estadio da Luz,Lisboa,Portugal,NULL,NULL,Carlo Ancelotti,Diego Simeone,NULL,NULL,31,20,11,13,9,4,NULL,NULL,NULL,NULL,NULL,62%,38%,46,19,27,18,9,9
2014-2015,Octavos,Ida,17-02-2015,NULL,NULL,PSG,Chelsea,1-1,3-3,Parc des Princes,Paris,Francia,NULL,NULL,Laurent Blanc,Jose Mourinho,NULL,NULL,,,,,,,Cavani 54'; Ivanovic 36',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Octavos,Vuelta,11-03-2015,NULL,NULL,Chelsea,PSG,2-2 (AET),3-3,Stamford Bridge,Londres,Inglaterra,NULL,NULL,Jose Mourinho,Laurent Blanc,NULL,NULL,27,15,12,12,6,6,NULL,NULL,NULL,NULL,NULL,49%,51%,41,24,17,18,7,11
2014-2015,Octavos,Ida,18-02-2015,NULL,NULL,Manchester City,Barcelona,1-2,1-3,Etihad Stadium,Manchester,Inglaterra,NULL,NULL,Manuel Pellegrini,Luis Enrique,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Suarez 16'; 30'; Aguero 69',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Octavos,Vuelta,18-03-2015,NULL,NULL,Barcelona,Manchester City,1-0,3-1,Camp Nou,Barcelona,España,NULL,NULL,Luis Enrique,Manuel Pellegrini,NULL,NULL,67,42,25,30,20,10,NULL,NULL,NULL,NULL,NULL,57%,42%,18,6,12,19,14,5
2014-2015,Octavos,Ida,24-02-2015,NULL,NULL,Bayer Leverkusen,Atletico Madrid,1-0,1-1,BayArena,Leverkusen,Alemania,NULL,NULL,Roger Schmidt,Diego Simeone,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Calhanoglu 57',NULL,NULL,NULL,Tiago,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Octavos,Vuelta,17-03-2015,NULL,NULL,Atletico Madrid,Bayer Leverkusen,1-0,1-1,Vicente Calderon,Madrid,España,NULL,NULL,Diego Simeone,Roger Schmidt,NULL,NULL,36,22,14,15,8,7,NULL,NULL,NULL,NULL,NULL,48%,51%,31,8,23,22,6,16
2014-2015,Octavos,Ida,24-02-2015,NULL,NULL,Arsenal,Monaco,1-3,3-3,Emirates Stadium,Londres,Inglaterra,NULL,NULL,Arsene Wenger,Leonardo Jardim,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oxlade-Chamberlain 90'; Kondogbia 38'; Berbatov 53'; Ferreira Carrasco 90',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Octavos,Vuelta,17-03-2015,NULL,NULL,Monaco,Arsenal,0-2,3-3,Stade Louis II,Monaco,Monaco,NULL,NULL,Leonardo Jardim,Arsene Wenger,NULL,NULL,35,5,30,15,1,14,NULL,NULL,NULL,NULL,NULL,29%,70%,23,13,10,9,7,2
2014-2015,Octavos,Ida,25-02-2015,NULL,NULL,Shakhtar,Bayern Munich,0-0,0-7,Arena Lviv,Lviv,Ucrania,NULL,NULL,Mircea Lucescu,Pep Guardiola,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Octavos,Vuelta,11-03-2015,NULL,NULL,Bayern Munich,Shakhtar,7-0,7-0,Allianz Arena,Munich,Alemania,NULL,NULL,Pep Guardiola,Mircea Lucescu,NULL,NULL,48,42,6,24,23,1,NULL,NULL,NULL,NULL,NULL,73%,26%,18,13,5,24,5,19
2014-2015,Octavos,Ida,25-02-2015,NULL,NULL,Schalke 04,Real Madrid,0-2,4-5,Veltins-Arena,Gelsenkirchen,Alemania,NULL,NULL,Roberto Di Matteo,Carlo Ancelotti,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ronaldo 26'; Marcelo 79',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Octavos,Vuelta,10-03-2015,NULL,NULL,Real Madrid,Schalke 04,3-4,5-4,Santiago Bernabeu,Madrid,España,NULL,NULL,Carlo Ancelotti,Roberto Di Matteo,NULL,NULL,34,14,20,19,9,10,NULL,NULL,NULL,NULL,NULL,48%,52%,11,4,7,12,5,7
2014-2015,Octavos,Ida,18-02-2015,NULL,NULL,Basel,Porto,1-1,1-5,St. Jakob-Park,Basilea,Suiza,NULL,NULL,Paulo Sousa,Julen Lopetegui,NULL,NULL,16,1,15,8,1,7,NULL,NULL,NULL,NULL,NULL,37%,63%,34,21,13,9,0,9
2014-2015,Octavos,Vuelta,10-03-2015,NULL,NULL,Porto,Basel,4-0,5-1,Estadio do Dragao,Porto,Portugal,NULL,NULL,Julen Lopetegui,Paulo Sousa,NULL,NULL,30,20,10,14,10,4,NULL,NULL,NULL,NULL,NULL,51%,48%,23,4,19,7,3,4
2014-2015,Octavos,Ida,17-02-2015,NULL,NULL,Juventus,Borussia Dortmund,2-1,5-1,Juventus Stadium,Turin,Italia,NULL,NULL,Massimiliano Allegri,Jurgen Klopp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Tevez 13'; Morata 43'; Reus 18',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Octavos,Vuelta,18-03-2015,NULL,NULL,Borussia Dortmund,Juventus,0-3,1-5,Signal Iduna Park,Dortmund,Alemania,NULL,NULL,Jurgen Klopp,Massimiliano Allegri,NULL,NULL,27,12,15,13,4,9,NULL,NULL,NULL,NULL,NULL,55%,44%,15,7,8,16,12,4
2014-2015,Cuartos,Ida,14-04-2015,NULL,NULL,Atletico Madrid,Real Madrid,0-0,0-1,Vicente Calderon,Madrid,España,NULL,NULL,Diego Simeone,Carlo Ancelotti,NULL,NULL,25,8,17,10,2,8,NULL,NULL,NULL,NULL,NULL,39%,61%,30,19,11,12,7,5
2014-2015,Cuartos,Vuelta,22-04-2015,NULL,NULL,Real Madrid,Atletico Madrid,1-0,1-0,Santiago Bernabeu,Madrid,España,NULL,NULL,Carlo Ancelotti,Diego Simeone,NULL,NULL,29,23,6,10,8,2,NULL,NULL,NULL,NULL,NULL,63%,37%,27,15,12,14,10,4
2014-2015,Cuartos,Ida,14-04-2015,NULL,NULL,PSG,Barcelona,1-3,1-5,Parc des Princes,Paris,Francia,NULL,NULL,Laurent Blanc,Luis Enrique,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Neymar 18'; 34'; Suarez 67'; Van der Wiel 82',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Cuartos,Vuelta,21-04-2015,NULL,NULL,Barcelona,PSG,2-0,5-1,Camp Nou,Barcelona,España,NULL,NULL,Luis Enrique,Laurent Blanc,NULL,NULL,20,11,9,8,6,2,NULL,NULL,NULL,NULL,NULL,57%,43%,27,11,16,6,5,1
2014-2015,Cuartos,Ida,15-04-2015,NULL,NULL,Porto,Bayern Munich,3-1,4-7,Estadio do Dragao,Porto,Portugal,NULL,NULL,Julen Lopetegui,Pep Guardiola,NULL,NULL,11,6,5,7,4,3,NULL,NULL,NULL,NULL,NULL,32%,68%,38,16,22,9,3,6
2014-2015,Cuartos,Vuelta,21-04-2015,NULL,NULL,Bayern Munich,Porto,6-1,7-4,Allianz Arena,Munich,Alemania,NULL,NULL,Pep Guardiola,Julen Lopetegui,NULL,NULL,24,21,3,11,10,1,NULL,NULL,NULL,NULL,NULL,55%,45%,38,19,19,5,4,1
2014-2015,Cuartos,Ida,15-04-2015,NULL,NULL,Juventus,Monaco,1-0,1-0,Juventus Stadium,Turin,Italia,NULL,NULL,Massimiliano Allegri,Leonardo Jardim,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Vidal 57',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Cuartos,Vuelta,22-04-2015,NULL,NULL,Monaco,Juventus,0-0,0-1,Stade Louis II,Monaco,Monaco,NULL,NULL,Leonardo Jardim,Massimiliano Allegri,NULL,NULL,17,12,5,2,1,1,NULL,NULL,NULL,NULL,NULL,56%,44%,31,14,17,10,6,4
2014-2015,Semifinal,Ida,05-05-2015,NULL,NULL,Juventus,Real Madrid,2-1,3-2,Juventus Stadium,Turin,Italia,NULL,NULL,Massimiliano Allegri,Carlo Ancelotti,NULL,NULL,25,12,13,11,7,4,NULL,NULL,NULL,NULL,NULL,48%,52%,34,21,13,6,1,5
2014-2015,Semifinal,Vuelta,13-05-2015,NULL,NULL,Real Madrid,Juventus,1-1,2-3,Santiago Bernabeu,Madrid,España,NULL,NULL,Carlo Ancelotti,Massimiliano Allegri,NULL,NULL,30,23,7,9,5,4,NULL,NULL,NULL,NULL,NULL,54%,46%,18,11,7,14,8,6
2014-2015,Semifinal,Ida,06-05-2015,NULL,NULL,Barcelona,Bayern Munich,3-0,5-3,Camp Nou,Barcelona,España,NULL,NULL,Luis Enrique,Pep Guardiola,NULL,NULL,23,15,8,8,8,0,NULL,NULL,NULL,NULL,NULL,45%,55%,29,15,14,5,2,3
2014-2015,Semifinal,Vuelta,12-05-2015,NULL,NULL,Bayern Munich,Barcelona,3-2,3-5,Allianz Arena,Munich,Alemania,NULL,NULL,Pep Guardiola,Luis Enrique,NULL,NULL,24,19,5,12,8,4,NULL,NULL,NULL,NULL,NULL,54%,46%,31,19,12,6,5,1
2014-2015,Final,Final,06-06-2015,NULL,NULL,Barcelona,Juventus,3-1,NULL,Olympiastadion,Berlin,Alemania,NULL,NULL,Luis Enrique,Massimiliano Allegri,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Rakitic 4'; Suarez 68'; Neymar 90'; Morata 55',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Octavos,Ida,16-02-2016,NULL,NULL,PSG,Chelsea,2-1,4-2,Parc des Princes,Paris,Francia,NULL,NULL,Laurent Blanc,Guus Hiddink,NULL,NULL,30,20,10,13,8,5,NULL,NULL,NULL,NULL,NULL,65%,35%,31,16,15,12,9,3
2015-2016,Octavos,Vuelta,09-03-2016,NULL,NULL,Chelsea,PSG,1-2,2-4,Stamford Bridge,Londres,Inglaterra,NULL,NULL,Guus Hiddink,Laurent Blanc,NULL,NULL,25,15,10,12,7,5,NULL,NULL,NULL,NULL,NULL,37%,63%,29,16,13,9,5,4
2015-2016,Octavos,Ida,17-02-2016,NULL,NULL,Roma,Real Madrid,0-2,0-4,Stadio Olimpico,Roma,Italia,NULL,NULL,Luciano Spalletti,Zinedine Zidane,NULL,NULL,30,11,19,7,2,5,NULL,NULL,NULL,NULL,NULL,39%,61%,22,12,10,12,7,5
2015-2016,Octavos,Vuelta,08-03-2016,NULL,NULL,Real Madrid,Roma,2-0,4-0,Santiago Bernabeu,Madrid,España,NULL,NULL,Zinedine Zidane,Luciano Spalletti,NULL,NULL,49,37,12,14,10,4,NULL,NULL,NULL,NULL,NULL,59%,41%,15,6,9,18,11,7
2015-2016,Octavos,Ida,23-02-2016,NULL,NULL,Arsenal,Barcelona,0-2,1-5,Emirates Stadium,Londres,Inglaterra,NULL,NULL,Arsene Wenger,Luis Enrique,NULL,NULL,23,8,15,7,3,4,NULL,NULL,NULL,NULL,NULL,34%,66%,27,13,14,8,1,7
2015-2016,Octavos,Vuelta,16-03-2016,NULL,NULL,Barcelona,Arsenal,3-1,5-1,Camp Nou,Barcelona,España,NULL,NULL,Luis Enrique,Arsene Wenger,NULL,NULL,37,17,20,11,8,3,NULL,NULL,NULL,NULL,NULL,64%,36%,19,8,11,15,7,8
2015-2016,Octavos,Ida,23-02-2016,NULL,NULL,Juventus,Bayern Munich,2-2,4-6,Juventus Stadium,Turin,Italia,NULL,NULL,Massimiliano Allegri,Pep Guardiola,NULL,NULL,24,11,13,12,7,5,NULL,NULL,NULL,NULL,NULL,33%,67%,31,13,18,7,3,4
2015-2016,Octavos,Vuelta,16-03-2016,NULL,NULL,Bayern Munich,Juventus,4-2 (AET),6-4,Allianz Arena,Munich,Alemania,NULL,NULL,Pep Guardiola,Massimiliano Allegri,NULL,NULL,42,26,16,18,7,11,NULL,NULL,NULL,NULL,NULL,75%,25%,45,19,26,7,5,2
2015-2016,Octavos,Ida,24-02-2016,NULL,NULL,PSV,Atletico Madrid,0-0,0-0,Philips Stadion,Eindhoven,Países Bajos,NULL,NULL,Phillip Cocu,Diego Simeone,NULL,NULL,17,5,12,6,1,5,NULL,NULL,NULL,NULL,NULL,42%,58%,16,8,8,11,1,10
2015-2016,Octavos,Vuelta,15-03-2016,NULL,NULL,Atletico Madrid,PSV,0-0 (P),0-0,Vicente Calderon,Madrid,España,NULL,NULL,Diego Simeone,Phillip Cocu,NULL,NULL,36,26,10,9,7,2,NULL,NULL,NULL,NULL,NULL,59%,41%,25,8,17,15,10,5
2015-2016,Octavos,Ida,24-02-2016,NULL,NULL,Dynamo Kyiv,Manchester City,1-3,1-3,Olimpiyskiy Stadium,Kiev,Ucrania,NULL,NULL,Serhiy Rebrov,Manuel Pellegrini,NULL,NULL,23,11,12,8,3,5,NULL,NULL,NULL,NULL,NULL,49%,51%,24,14,10,9,6,3
2015-2016,Octavos,Vuelta,15-03-2016,NULL,NULL,Manchester City,Dynamo Kyiv,0-0,3-1,Etihad Stadium,Manchester,Inglaterra,NULL,NULL,Manuel Pellegrini,Serhiy Rebrov,NULL,NULL,11,6,5,4,1,3,NULL,NULL,NULL,NULL,NULL,46%,54%,22,11,11,3,2,1
2015-2016,Octavos,Ida,16-02-2016,NULL,NULL,Benfica,Zenit,1-0,3-1,Estadio da Luz,Lisboa,Portugal,NULL,NULL,Rui Vitoria,Andre Villas-Boas,NULL,NULL,20,15,5,6,4,2,NULL,NULL,NULL,NULL,NULL,64%,36%,26,14,12,8,5,3
2015-2016,Octavos,Vuelta,09-03-2016,NULL,NULL,Zenit,Benfica,1-2,1-3,Petrovsky Stadium,San Petersburgo,Rusia,NULL,NULL,Andre Villas-Boas,Rui Vitoria,NULL,NULL,26,14,12,13,4,9,NULL,NULL,NULL,NULL,NULL,56%,44%,36,14,22,12,7,5
2015-2016,Octavos,Ida,17-02-2016,NULL,NULL,Gent,Wolfsburg,2-3,2-4,Ghelamco Arena,Ghent,Bélgica,NULL,NULL,Hein Vanhaezebrouck,Dieter Hecking,NULL,NULL,28,12,16,10,6,4,NULL,NULL,NULL,NULL,NULL,60%,40%,29,12,17,10,7,3
2015-2016,Octavos,Vuelta,08-03-2016,NULL,NULL,Wolfsburg,Gent,1-0,4-2,Volkswagen Arena,Wolfsburg,Alemania,NULL,NULL,Dieter Hecking,Hein Vanhaezebrouck,NULL,NULL,24,17,7,7,5,2,NULL,NULL,NULL,NULL,NULL,47%,53%,29,13,16,7,6,1
2015-2016,Cuartos,Ida,05-04-2016,NULL,NULL,Barcelona,Atletico Madrid,2-1,2-3,Camp Nou,Barcelona,España,NULL,NULL,Luis Enrique,Diego Simeone,NULL,NULL,28,21,7,7,5,2,NULL,NULL,NULL,NULL,NULL,74%,26%,35,19,16,4,2,2
2015-2016,Cuartos,Vuelta,13-04-2016,NULL,NULL,Atletico Madrid,Barcelona,2-0,3-2,Vicente Calderon,Madrid,España,NULL,NULL,Diego Simeone,Luis Enrique,NULL,NULL,22,9,13,10,6,4,NULL,NULL,NULL,NULL,NULL,23%,77%,30,20,10,6,1,5
2015-2016,Cuartos,Ida,05-04-2016,NULL,NULL,Bayern Munich,Benfica,1-0,3-2,Allianz Arena,Munich,Alemania,NULL,NULL,Pep Guardiola,Rui Vitoria,NULL,NULL,26,16,10,7,6,1,NULL,NULL,NULL,NULL,NULL,68%,32%,23,11,12,7,5,2
2015-2016,Cuartos,Vuelta,13-04-2016,NULL,NULL,Benfica,Bayern Munich,2-2,2-3,Estadio da Luz,Lisboa,Portugal,NULL,NULL,Rui Vitoria,Pep Guardiola,NULL,NULL,24,9,15,12,5,7,NULL,NULL,NULL,NULL,NULL,26%,74%,19,9,10,9,3,6
2015-2016,Cuartos,Ida,06-04-2016,NULL,NULL,Wolfsburg,Real Madrid,2-0,2-3,Volkswagen Arena,Wolfsburg,Alemania,NULL,NULL,Dieter Hecking,Zinedine Zidane,NULL,NULL,31,10,21,10,7,3,NULL,NULL,NULL,NULL,NULL,39%,61%,21,13,8,7,1,6
2015-2016,Cuartos,Vuelta,12-04-2016,NULL,NULL,Real Madrid,Wolfsburg,3-0,3-2,Santiago Bernabeu,Madrid,España,NULL,NULL,Zinedine Zidane,Dieter Hecking,NULL,NULL,25,16,9,10,7,3,NULL,NULL,NULL,NULL,NULL,58%,42%,19,10,9,16,12,4
2015-2016,Cuartos,Ida,06-04-2016,NULL,NULL,PSG,Manchester City,2-2,2-3,Parc des Princes,Paris,Francia,NULL,NULL,Laurent Blanc,Manuel Pellegrini,NULL,NULL,27,16,11,8,5,3,NULL,NULL,NULL,NULL,NULL,67%,33%,21,6,15,8,4,4
2015-2016,Cuartos,Vuelta,12-04-2016,NULL,NULL,Manchester City,PSG,1-0,3-2,Etihad Stadium,Manchester,Inglaterra,NULL,NULL,Manuel Pellegrini,Laurent Blanc,NULL,NULL,15,9,6,5,1,4,NULL,NULL,NULL,NULL,NULL,36%,64%,31,18,13,11,6,5
2015-2016,Semifinal,Ida,26-04-2016,NULL,NULL,Manchester City,Real Madrid,0-0,0-1,Etihad Stadium,Manchester,Inglaterra,NULL,NULL,Manuel Pellegrini,Zinedine Zidane,NULL,NULL,17,4,13,4,1,3,NULL,NULL,NULL,NULL,NULL,45%,55%,32,20,12,10,4,6
