season,country,coefficient_5yr,rank,teams
2017-2018,Moldova,10.0,33,4
2017-2018,Albania,8.5,34,4
2017-2018,Iceland,8.25,35,4
2017-2018,Hungary,8.125,36,4
2017-2018,North Macedonia,7.5,37,4
2017-2018,Finland,6.9,38,4
2017-2018,Ireland,6.7,39,4
2017-2018,Bosnia-Herzegovina,6.625,40,4
2017-2018,Latvia,5.625,41,4
2017-2018,Estonia,5.5,42,4
2017-2018,Lithuania,5.375,43,4
2017-2018,Montenegro,5.0,44,4
2017-2018,Georgia,5.0,45,4
2017-2018,Armenia,4.875,46,4
2017-2018,Malta,4.5,47,4
2017-2018,Luxembourg,4.375,48,4
2017-2018,Northern Ireland,4.25,49,4
2017-2018,Wales,3.875,50,4
2017-2018,Faroe Islands,3.75,51,4
2017-2018,Gibraltar,3.0,52,3
2017-2018,Andorra,1.331,53,3
2017-2018,San Marino,0.499,54,3
2017-2018,Kosovo,0.0,55,2
2018-2019,Spain,103.569,1,7
2018-2019,England,85.462,2,7
2018-2019,Italy,74.725,3,7
2018-2019,Germany,71.927,4,7
2018-2019,France,58.498,5,6
2018-2019,Russia,50.549,6,6
2018-2019,Portugal,48.232,7,5
2018-2019,Belgium,39.9,8,5
2018-2019,Ukraine,38.9,9,5
2018-2019,Türkiye,34.6,10,5
2018-2019,Netherlands,32.433,11,5
2018-2019,Austria,31.25,12,5
2018-2019,Czechia,28.675,13,5
2018-2019,Greece,27.6,14,5
2018-2019,Croatia,27.375,15,4
2018-2019,Denmark,27.025,16,4
2018-2019,Switzerland,26.9,17,5
2018-2019,Cyprus,24.925,18,4
2018-2019,Serbia,22.25,19,4
2018-2019,Scotland,22.125,20,4
2018-2019,Belarus,21.875,21,4
2018-2019,Sweden,20.9,22,4
2018-2019,Norway,20.2,23,4
2018-2019,Kazakhstan,19.25,24,4
2018-2019,Poland,19.25,25,4
2018-2019,Azerbaijan,19.0,26,4
2018-2019,Israel,18.625,27,4
2018-2019,Bulgaria,17.5,28,4
2018-2019,Romania,15.95,29,4
2018-2019,Slovakia,15.625,30,4
2018-2019,Slovenia,15.0,31,4
2018-2019,Liechtenstein,13.5,32,1
2018-2019,Hungary,10.5,33,4
2018-2019,North Macedonia,8.0,34,4
2018-2019,Moldova,7.75,35,4
2018-2019,Albania,7.5,36,4
2018-2019,Ireland,7.45,37,4
2018-2019,Finland,7.275,38,4
2018-2019,Iceland,7.25,39,4
2018-2019,Bosnia-Herzegovina,7.125,40,4
2018-2019,Lithuania,6.75,41,4
2018-2019,Latvia,5.625,42,4
2018-2019,Luxembourg,5.5,43,4
2018-2019,Armenia,5.25,44,4
2018-2019,Malta,5.125,45,4
2018-2019,Estonia,5.0,46,4
2018-2019,Georgia,4.75,47,4
2018-2019,Wales,4.125,48,4
2018-2019,Montenegro,4.125,49,4
2018-2019,Faroe Islands,4.0,50,4
2018-2019,Gibraltar,4.0,51,3
2018-2019,Northern Ireland,3.875,52,4
2018-2019,Kosovo,2.5,53,2
2018-2019,Andorra,1.831,54,3
2018-2019,San Marino,0.666,55,3
2019-2020,Spain,102.283,1,7
2019-2020,England,90.462,2,7
2019-2020,Germany,74.784,3,7
2019-2020,Italy,70.653,4,7
2019-2020,France,59.248,5,6
2019-2020,Portugal,49.449,6,5
2019-2020,Russia,45.549,7,6
2019-2020,Belgium,37.9,8,5
2019-2020,Ukraine,36.1,9,5
2019-2020,Netherlands,35.75,10,5
2019-2020,Türkiye,33.6,11,5
2019-2020,Austria,32.925,12,5
2019-2020,Denmark,29.25,13,4
2019-2020,Scotland,27.875,14,4
2019-2020,Czechia,27.3,15,5
2019-2020,Cyprus,26.75,16,4
2019-2020,Switzerland,26.4,17,5
2019-2020,Greece,26.3,18,5
2019-2020,Serbia,25.5,19,4
2019-2020,Croatia,24.875,20,4
2019-2020,Sweden,22.75,21,4
2019-2020,Norway,21.75,22,4
2019-2020,Israel,19.625,23,4
2019-2020,Kazakhstan,19.25,24,4
2019-2020,Belarus,18.875,25,4
2019-2020,Azerbaijan,18.75,26,4
2019-2020,Bulgaria,17.375,27,4
2019-2020,Romania,16.7,28,4
2019-2020,Poland,16.625,29,4
2019-2020,Slovakia,15.875,30,4
2019-2020,Liechtenstein,13.5,31,1
2019-2020,Slovenia,13.0,32,4
2019-2020,Hungary,12.875,33,4
2019-2020,Luxembourg,8.0,34,4
2019-2020,Lithuania,7.875,35,4
2019-2020,Armenia,7.625,36,4
2019-2020,Latvia,7.625,37,4
2019-2020,Albania,7.375,38,4
2019-2020,North Macedonia,7.375,39,4
2019-2020,Bosnia-Herzegovina,6.875,40,4
2019-2020,Moldova,6.75,41,4
2019-2020,Ireland,6.7,42,4
2019-2020,Finland,6.5,43,4
2019-2020,Georgia,5.75,44,4
2019-2020,Malta,5.75,45,4
2019-2020,Iceland,5.375,46,4
2019-2020,Wales,5.0,47,4
2019-2020,Northern Ireland,4.875,48,4
2019-2020,Gibraltar,4.75,49,3
2019-2020,Montenegro,4.375,50,4
2019-2020,Estonia,4.375,51,4
2019-2020,Kosovo,4.0,52,2
2019-2020,Faroe Islands,3.75,53,4
2019-2020,Andorra,2.831,54,3
2019-2020,San Marino,0.666,55,3
2020-2021,England,100.569,1,7
2020-2021,Spain,97.855,2,7
2020-2021,Italy,75.438,3,7
2020-2021,Germany,73.57,4,7
2020-2021,France,56.081,5,6
2020-2021,Portugal,48.549,6,5
2020-2021,Netherlands,39.2,7,5
2020-2021,Russia,38.382,8,6
2020-2021,Belgium,36.5,9,5
2020-2021,Austria,35.825,10,5
2020-2021,Scotland,33.375,11,4
2020-2021,Ukraine,33.1,12,5
2020-2021,Türkiye,30.1,13,5
2020-2021,Denmark,27.875,14,4
2020-2021,Cyprus,27.75,15,4
2020-2021,Serbia,26.75,16,4
2020-2021,Czechia,26.6,17,5
2020-2021,Croatia,26.275,18,5
2020-2021,Switzerland,26.225,19,4
2020-2021,Greece,26.0,20,5
2020-2021,Israel,24.375,21,4
2020-2021,Norway,21.0,22,4
2020-2021,Sweden,20.5,23,4
2020-2021,Bulgaria,20.375,24,4
2020-2021,Romania,18.2,25,4
2020-2021,Azerbaijan,16.875,26,4
2020-2021,Kazakhstan,15.625,27,4
2020-2021,Hungary,15.5,28,4
2020-2021,Belarus,15.25,29,4
2020-2021,Poland,15.125,30,4
2020-2021,Slovenia,14.25,31,4
2020-2021,Slovakia,13.625,32,4
2020-2021,Liechtenstein,9.0,33,1
2020-2021,Lithuania,8.75,34,4
2020-2021,Luxembourg,8.25,35,4
2020-2021,Bosnia-Herzegovina,8.0,36,4
2020-2021,Ireland,7.875,37,4
2020-2021,North Macedonia,7.625,38,4
2020-2021,Armenia,7.375,39,4
2020-2021,Latvia,7.375,40,4
2020-2021,Albania,7.25,41,4
2020-2021,Northern Ireland,6.958,42,3
2020-2021,Georgia,6.875,43,4
2020-2021,Finland,6.875,44,4
2020-2021,Moldova,6.875,45,4
2020-2021,Malta,6.375,46,4
2020-2021,Faroe Islands,6.125,47,4
2020-2021,Kosovo,5.833,48,3
2020-2021,Gibraltar,5.666,49,3
2020-2021,Montenegro,5.0,50,4
2020-2021,Wales,5.0,51,4
2020-2021,Iceland,4.875,52,4
2020-2021,Estonia,4.75,53,4
2020-2021,Andorra,3.331,54,3
2020-2021,San Marino,1.166,55,3
2021-2022,England,106.641,1,7
2021-2022,Spain,96.141,2,7
2021-2022,Italy,76.902,3,7
2021-2022,Germany,75.213,4,7
2021-2022,France,60.081,5,6
2021-2022,Portugal,53.382,6,6
2021-2022,Netherlands,49.3,7,5
2021-2022,Austria,38.85,8,5
2021-2022,Scotland,36.9,9,5
2021-2022,Russia,34.482,10,5
2021-2022,Serbia,33.375,11,4
2021-2022,Ukraine,31.8,12,5
2021-2022,Belgium,30.6,13,5
2021-2022,Switzerland,29.675,14,4
2021-2022,Greece,28.2,15,4
2021-2022,Czechia,27.8,16,5
2021-2022,Norway,27.25,17,4
2021-2022,Denmark,27.175,18,5
2021-2022,Croatia,27.15,19,4
2021-2022,Türkiye,27.1,20,5
2021-2022,Cyprus,26.375,21,4
2021-2022,Israel,24.375,22,4
2021-2022,Sweden,22.875,23,4
2021-2022,Bulgaria,19.5,24,4
2021-2022,Romania,17.15,25,4
2021-2022,Azerbaijan,17.0,26,4
2021-2022,Hungary,16.375,27,4
2021-2022,Poland,15.875,28,4
2021-2022,Kazakhstan,15.75,29,4
2021-2022,Slovakia,15.625,30,4
2021-2022,Slovenia,15.0,31,4
2021-2022,Belarus,12.5,32,4
2021-2022,Moldova,11.25,33,4
2021-2022,Lithuania,10.0,34,4
2021-2022,Bosnia-Herzegovina,9.125,35,4
2021-2022,Finland,8.875,36,4
2021-2022,Luxembourg,8.75,37,4
2021-2022,Latvia,8.625,38,4
2021-2022,Kosovo,8.166,39,3
2021-2022,Ireland,8.125,40,4
2021-2022,Armenia,8.125,41,4
2021-2022,Northern Ireland,8.083,42,4
2021-2022,Albania,8.0,43,4
2021-2022,Faroe Islands,7.25,44,3
2021-2022,Estonia,7.041,45,3
2021-2022,Malta,7.0,46,4
2021-2022,Georgia,7.0,47,4
2021-2022,North Macedonia,7.0,48,4
2021-2022,Liechtenstein,6.5,49,1
2021-2022,Wales,5.5,50,4
2021-2022,Gibraltar,5.416,51,4
2021-2022,Iceland,5.375,52,4
2021-2022,Montenegro,4.875,53,4
2021-2022,Andorra,4.665,54,3
2021-2022,San Marino,1.332,55,3
2022-2023,England,109.57,1,7
2022-2023,Spain,92.998,2,7
2022-2023,Germany,82.481,3,8
2022-2023,Italy,81.926,4,7
2022-2023,France,61.164,5,6
2022-2023,Netherlands,59.9,6,5
2022-2023,Portugal,56.216,7,6
2022-2023,Belgium,42.2,8,5
2022-2023,Scotland,36.4,9,5
2022-2023,Austria,34.0,10,5
2022-2023,Serbia,32.375,11,4
2022-2023,Türkiye,32.1,12,5
2022-2023,Switzerland,31.675,13,4
2022-2023,Ukraine,29.5,14,5
2022-2023,Czechia,29.05,15,4
2022-2023,Norway,29.0,16,4
2022-2023,Denmark,27.825,17,5
2022-2023,Russia,26.215,18,0
2022-2023,Croatia,25.4,19,4
2022-2023,Greece,25.225,20,4
2022-2023,Israel,25.0,21,4
2022-2023,Cyprus,24.475,22,5
2022-2023,Sweden,23.75,23,4
2022-2023,Poland,20.75,24,4
2022-2023,Hungary,20.625,25,4
2022-2023,Romania,20.5,26,4
2022-2023,Bulgaria,20.0,27,4
2022-2023,Slovakia,19.75,28,4
2022-2023,Azerbaijan,16.625,29,4
2022-2023,Kazakhstan,12.625,30,4
2022-2023,Slovenia,12.5,31,4
2022-2023,Moldova,12.25,32,4
2022-2023,Kosovo,11.041,33,4
2022-2023,Liechtenstein,11.0,34,1
2022-2023,Latvia,10.625,35,4
2022-2023,Ireland,10.375,36,4
2022-2023,Finland,10.25,37,4
2022-2023,Lithuania,10.0,38,4
2022-2023,Armenia,9.875,39,4
2022-2023,Belarus,9.875,40,4
2022-2023,Bosnia-Herzegovina,9.75,41,4
2022-2023,Luxembourg,9.0,42,4
2022-2023,Faroe Islands,8.75,43,4
2022-2023,Northern Ireland,8.583,44,4
2022-2023,Malta,8.25,45,4
2022-2023,Georgia,8.0,46,4
2022-2023,Estonia,7.582,47,3
2022-2023,Iceland,7.25,48,3
2022-2023,Albania,6.25,49,4
2022-2023,Wales,6.166,50,3
2022-2023,Gibraltar,5.791,51,4
2022-2023,North Macedonia,5.5,52,4
2022-2023,Andorra,5.165,53,3
2022-2023,Montenegro,4.75,54,4
2022-2023,San Marino,1.999,55,3
2023-2024,England,104.303,1,8
2023-2024,Italy,90.284,2,7
2023-2024,Spain,89.489,3,8
2023-2024,Germany,86.624,4,7
2023-2024,France,66.831,5,6
2023-2024,Netherlands,61.3,6,5
2023-2024,Portugal,56.316,7,6
2023-2024,Belgium,48.8,8,5
2023-2024,Türkiye,38.6,9,4
2023-2024,Czechia,36.05,10,4
2023-2024,Scotland,36.05,11,5
2023-2024,Switzerland,32.975,12,5
2023-2024,Austria,32.6,13,5
2023-2024,Norway,31.625,14,4
2023-2024,Greece,31.525,15,5
2023-2024,Denmark,31.45,16,4
2023-2024,Israel,31.125,17,4
2023-2024,Ukraine,28.0,18,5
2023-2024,Serbia,27.775,19,5
2023-2024,Croatia,25.525,20,4
2023-2024,Poland,25.375,21,4
2023-2024,Russia,22.965,22,0
2023-2024,Cyprus,22.1,23,4
2023-2024,Hungary,21.875,24,4
2023-2024,Sweden,21.5,25,4
2023-2024,Romania,21.375,26,4
2023-2024,Bulgaria,20.375,27,4
2023-2024,Azerbaijan,20.125,28,4
2023-2024,Slovakia,19.625,29,4
2023-2024,Slovenia,13.25,30,4
2023-2024,Moldova,13.125,31,4
2023-2024,Kosovo,11.541,32,4
2023-2024,Kazakhstan,11.5,33,4
2023-2024,Finland,11.125,34,4
2023-2024,Ireland,10.875,35,4
2023-2024,Armenia,10.625,36,4
2023-2024,Latvia,10.625,37,4
2023-2024,Faroe Islands,10.375,38,4
2023-2024,Bosnia-Herzegovina,10.0,39,4
2023-2024,Liechtenstein,10.0,40,1
2023-2024,Iceland,9.583,41,3
2023-2024,Northern Ireland,9.208,42,4
2023-2024,Luxembourg,8.625,43,4
2023-2024,Lithuania,8.5,44,4
2023-2024,Malta,8.25,45,4
2023-2024,Georgia,7.625,46,4
2023-2024,Albania,7.375,47,4
2023-2024,Estonia,7.207,48,4
2023-2024,Belarus,6.625,49,4
2023-2024,North Macedonia,6.0,50,4
2023-2024,Andorra,5.998,51,3
2023-2024,Wales,5.791,52,4
2023-2024,Montenegro,5.708,53,3
2023-2024,Gibraltar,4.957,54,3
2023-2024,San Marino,1.832,55,3
2024-2025,England,115.196,1,7
2024-2025,Italy,97.231,2,8
2024-2025,Spain,94.453,3,7
2024-2025,Germany,86.331,4,8
2024-2025,France,73.093,5,7
2024-2025,Netherlands,67.15,6,6
2024-2025,Portugal,62.266,7,5
2024-2025,Belgium,56.85,8,5
2024-2025,Czechia,44.1,9,5
2024-2025,Türkiye,43.9,10,5
2024-2025,Norway,39.687,11,4
2024-2025,Greece,39.312,12,4
2024-2025,Austria,36.45,13,5
2024-2025,Scotland,35.55,14,5
2024-2025,Poland,35.0,15,4
2024-2025,Denmark,33.981,16,4
2024-2025,Switzerland,33.625,17,5
2024-2025,Israel,31.625,18,4
2024-2025,Cyprus,27.537,19,4
2024-2025,Sweden,27.125,20,4
2024-2025,Croatia,27.025,21,4
2024-2025,Serbia,25.5,22,5
2024-2025,Ukraine,24.4,23,5
2024-2025,Hungary,24.0,24,4
2024-2025,Romania,23.25,25,4
2024-2025,Russia,22.632,26,0
2024-2025,Slovakia,21.25,27,4
2024-2025,Slovenia,20.343,28,4
2024-2025,Bulgaria,19.875,29,4
2024-2025,Azerbaijan,19.625,30,4
2024-2025,Ireland,14.968,31,4
2024-2025,Moldova,14.5,32,4
2024-2025,Iceland,13.52,33,4
2024-2025,Bosnia-Herzegovina,13.031,34,4
2024-2025,Armenia,12.25,35,4
2024-2025,Latvia,12.25,36,4
2024-2025,Kosovo,12.041,37,4
2024-2025,Finland,11.75,38,4
2024-2025,Kazakhstan,11.125,39,4
2024-2025,Faroe Islands,10.75,40,4
2024-2025,Malta,8.5,41,4
2024-2025,Northern Ireland,8.333,42,4
2024-2025,Lithuania,8.25,43,4
2024-2025,Liechtenstein,8.0,44,1
2024-2025,Estonia,7.957,45,4
2024-2025,Albania,7.875,46,4
2024-2025,Montenegro,7.208,47,3
2024-2025,Luxembourg,6.875,48,4
2024-2025,Wales,6.791,49,4
2024-2025,Georgia,6.625,50,4
2024-2025,North Macedonia,6.166,51,3
2024-2025,Belarus,6.0,52,4
2024-2025,Andorra,5.498,53,3
2024-2025,Gibraltar,5.457,54,3
2024-2025,San Marino,2.498,55,3
2025-2026,England,119.519,1,9
2025-2026,Italy,99.946,2,7
2025-2026,Spain,97.046,3,8
2025-2026,Germany,92.902,4,7
2025-2026,France,83.498,5,7
2025-2026,Portugal,73.166,6,5
2025-2026,Netherlands,67.929,7,6
2025-2026,Belgium,62.25,8,5
2025-2026,Türkiye,51.875,9,5
2025-2026,Czechia,48.525,10,5
2025-2026,Greece,48.412,11,5
2025-2026,Poland,46.75,12,4
2025-2026,Denmark,42.106,13,4
2025-2026,Norway,41.237,14,5
2025-2026,Cyprus,35.693,15,4
2025-2026,Switzerland,34.7,16,5
2025-2026,Austria,33.85,17,5
2025-2026,Scotland,32.05,18,5
2025-2026,Sweden,29.625,19,4
2025-2026,Croatia,28.156,20,4
2025-2026,Israel,27.5,21,4
2025-2026,Hungary,27.187,22,4
2025-2026,Ukraine,25.912,23,4
2025-2026,Serbia,25.75,24,4
2025-2026,Romania,25.25,25,4
2025-2026,Slovenia,24.468,26,4
2025-2026,Azerbaijan,22.937,27,4
2025-2026,Russia,22.632,28,0
2025-2026,Slovakia,22.375,29,4
2025-2026,Bulgaria,21.062,30,4
2025-2026,Ireland,17.343,31,4
2025-2026,Iceland,16.52,32,4
2025-2026,Armenia,15.062,33,4
2025-2026,Moldova,14.625,34,4
2025-2026,Finland,14.0,35,4
2025-2026,Kosovo,13.989,36,4
2025-2026,Kazakhstan,13.75,37,4
2025-2026,Bosnia-Herzegovina,13.718,38,4
2025-2026,Latvia,12.875,39,4
2025-2026,Faroe Islands,9.75,40,4
2025-2026,Malta,9.0,41,4
2025-2026,Liechtenstein,8.5,42,1
2025-2026,Estonia,8.207,43,4
2025-2026,Albania,8.125,44,4
2025-2026,North Macedonia,7.759,45,4
2025-2026,Lithuania,7.75,46,4
2025-2026,Northern Ireland,7.25,47,4
2025-2026,Gibraltar,7.124,48,3
2025-2026,Andorra,6.832,49,3
2025-2026,Belarus,6.625,50,4
2025-2026,Luxembourg,6.625,51,4
2025-2026,Montenegro,6.583,52,3
2025-2026,Georgia,6.0,53,4
2025-2026,Wales,5.624,54,3
2025-2026,San Marino,2.831,55,3
