season,fase,instancia,fecha,hora_inicio,hora_fin,local,visitante,marcador,global,estadio,ciudad,pais,arbitro_principal,arbitros_linea,entrenador_local,entrenador_visitante,planteles,puntuaciones_jugadores,tiros_totales,tiros_totales_local,tiros_totales_visitante,tiros_puerta,tiros_puerta_local,tiros_puerta_visitante,goles,asistencias,cambios,amarillas,rojas,posesion_local,posesion_visitante,faltas_total,faltas_local,faltas_visitante,corners_total,corners_local,corners_visitante
2012-2013,Cuartos,Ida,02-04-2013,NULL,NULL,Bayern Munich,Juventus,2-0,4-0,Allianz Arena,Munich,Alemania,NULL,NULL,Jupp Heynckes,Antonio Conte,NULL,NULL,,,,,,,Alaba 1'; Muller 63',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Cuartos,Vuelta,10-04-2013,NULL,NULL,Juventus,Bayern Munich,0-2,0-4,Juventus Stadium,Turin,Italia,NULL,NULL,Antonio Conte,Jupp Heynckes,NULL,NULL,,,,,,,Mandzukic 64'; Pizarro 90',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Cuartos,Ida,03-04-2013,NULL,NULL,Malaga,Borussia Dortmund,0-0,2-3,La Rosaleda,Malaga,España,NULL,NULL,Manuel Pellegrini,Jurgen Klopp,NULL,NULL,,,,,,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Cuartos,Vuelta,09-04-2013,NULL,NULL,Borussia Dortmund,Malaga,3-2,3-2,Signal Iduna Park,Dortmund,Alemania,NULL,NULL,Jurgen Klopp,Manuel Pellegrini,NULL,NULL,,,,,,,Reus 90'; Santana 90'; Joaquin 25'; Eliseu 82',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Cuartos,Ida,03-04-2013,NULL,NULL,Real Madrid,Galatasaray,3-0,5-3,Santiago Bernabeu,Madrid,España,NULL,NULL,Jose Mourinho,Fatih Terim,NULL,NULL,,,,,,,Ronaldo 9'; Benzema 29'; Higuain 73',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Cuartos,Vuelta,09-04-2013,NULL,NULL,Galatasaray,Real Madrid,3-2,3-5,Turk Telekom Arena,Estambul,Turquia,NULL,NULL,Fatih Terim,Jose Mourinho,NULL,NULL,,,,,,,Eboue 57'; Sneijder 70'; Drogba 72'; Ronaldo 7'; 90',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Semifinal,Ida,23-04-2013,NULL,NULL,Bayern Munich,Barcelona,4-0,7-0,Allianz Arena,Munich,Alemania,NULL,NULL,Jupp Heynckes,Tito Vilanova,NULL,NULL,,,,,,,Muller 25'; Gomez 49'; Robben 73'; Muller 82',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Semifinal,Vuelta,01-05-2013,NULL,NULL,Barcelona,Bayern Munich,0-3,0-7,Camp Nou,Barcelona,España,NULL,NULL,Tito Vilanova,Jupp Heynckes,NULL,NULL,,,,,,,Robben 49'; Pique OG 72'; Muller 76',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Semifinal,Ida,24-04-2013,NULL,NULL,Borussia Dortmund,Real Madrid,4-1,4-3,Signal Iduna Park,Dortmund,Alemania,NULL,NULL,Jurgen Klopp,Jose Mourinho,NULL,NULL,,,,,,,Lewandowski 8'; 50'; 55'; 66'; Ronaldo 43',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Semifinal,Vuelta,30-04-2013,NULL,NULL,Real Madrid,Borussia Dortmund,2-0,3-4,Santiago Bernabeu,Madrid,España,NULL,NULL,Jose Mourinho,Jurgen Klopp,NULL,NULL,,,,,,,Benzema 83'; Ramos 88',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Final,Final,25-05-2013,NULL,NULL,Bayern Munich,Borussia Dortmund,2-1,NULL,Wembley,Londres,Inglaterra,NULL,NULL,Jupp Heynckes,Jurgen Klopp,NULL,NULL,,,,,,,Mandzukic 60'; Gundogan 68'; Robben 89',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Octavos,Ida,18-02-2014,NULL,NULL,Manchester City,Barcelona,0-2,1-4,Etihad Stadium,Manchester,Inglaterra,NULL,NULL,Manuel Pellegrini,Tata Martino,NULL,NULL,,,,,,,Messi 54'; Alves 90',,NULL,NULL,Demichelis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Octavos,Vuelta,12-03-2014,NULL,NULL,Barcelona,Manchester City,2-1,4-1,Camp Nou,Barcelona,España,NULL,NULL,Tata Martino,Manuel Pellegrini,NULL,NULL,,,,,,,Messi 67'; Alves 90'; Kompany 89',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Octavos,Ida,19-02-2014,NULL,NULL,Arsenal,Bayern Munich,0-2,1-3,Emirates Stadium,Londres,Inglaterra,NULL,NULL,Arsene Wenger,Pep Guardiola,NULL,NULL,,,,,,,Kroos 54'; Muller 88',,NULL,NULL,Szczesny,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Octavos,Vuelta,11-03-2014,NULL,NULL,Bayern Munich,Arsenal,1-1,3-1,Allianz Arena,Munich,Alemania,NULL,NULL,Pep Guardiola,Arsene Wenger,NULL,NULL,,,,,,,Schweinsteiger 57',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Octavos,Ida,18-02-2014,NULL,NULL,AC Milan,Atletico Madrid,0-1,1-5,San Siro,Milán,Italia,NULL,NULL,Clarence Seedorf,Diego Simeone,NULL,NULL,,,,,,,Diego Costa 83',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Octavos,Vuelta,11-03-2014,NULL,NULL,Atletico Madrid,AC Milan,4-1,5-1,Vicente Calderon,Madrid,España,NULL,NULL,Diego Simeone,Clarence Seedorf,NULL,NULL,,,,,,,Diego Costa 3'; 27'; Arda Turan 40'; Raul Garcia 71'; Kaka 51',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Octavos,Ida,19-02-2014,NULL,NULL,Bayer Leverkusen,PSG,0-4,1-6,BayArena,Leverkusen,Alemania,NULL,NULL,Sami Hyypia,Laurent Blanc,NULL,NULL,,,,,,,Matuidi 3'; Ibrahimovic 39'; 42'; Cabaye 88',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Octavos,Vuelta,12-03-2014,NULL,NULL,PSG,Bayer Leverkusen,2-1,6-1,Parc des Princes,Paris,Francia,NULL,NULL,Laurent Blanc,Sami Hyypia,NULL,NULL,,,,,,,Marquinhos 13'; Lavezzi 53'; Rolfes 6',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Octavos,Ida,25-02-2014,NULL,NULL,Olympiacos,Manchester United,2-0,2-3,Karaiskakis Stadium,Pireo,Grecia,NULL,NULL,Michel,David Moyes,NULL,NULL,,,,,,,Dominguez 38'; Campbell 55',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Octavos,Vuelta,19-03-2014,NULL,NULL,Manchester United,Olympiacos,3-0,3-2,Old Trafford,Manchester,Inglaterra,NULL,NULL,David Moyes,Michel,NULL,NULL,,,,,,,Van Persie 25'; 45'; 52',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Octavos,Ida,25-02-2014,NULL,NULL,Zenit,Borussia Dortmund,2-4,4-5,Petrovsky Stadium,San Petersburgo,Rusia,NULL,NULL,Luciano Spalletti,Jurgen Klopp,NULL,NULL,,,,,,,Hulk 58'; Rondon 69'; Mkhitaryan 4'; Reus 5'; Lewandowski 61'; 71',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Octavos,Vuelta,19-03-2014,NULL,NULL,Borussia Dortmund,Zenit,1-2,5-4,Signal Iduna Park,Dortmund,Alemania,NULL,NULL,Jurgen Klopp,Luciano Spalletti,NULL,NULL,,,,,,,Kehl 38'; Hulk 16'; Rondon 73',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Octavos,Ida,26-02-2014,NULL,NULL,Galatasaray,Chelsea,1-1,1-3,Turk Telekom Arena,Estambul,Turquia,NULL,NULL,Roberto Mancini,Jose Mourinho,NULL,NULL,,,,,,,Chedjou 65'; Torres 9',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Octavos,Vuelta,18-03-2014,NULL,NULL,Chelsea,Galatasaray,2-0,3-1,Stamford Bridge,Londres,Inglaterra,NULL,NULL,Jose Mourinho,Roberto Mancini,NULL,NULL,,,,,,,Eto'o 4'; Cahill 42',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Octavos,Ida,26-02-2014,NULL,NULL,Schalke 04,Real Madrid,1-6,1-9,Veltins-Arena,Gelsenkirchen,Alemania,NULL,NULL,Jens Keller,Carlo Ancelotti,NULL,NULL,,,,,,,Ronaldo 21'; 89'; Benzema 13'; 57'; Bale 52'; 69'; Huntelaar 90',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Octavos,Vuelta,18-03-2014,NULL,NULL,Real Madrid,Schalke 04,3-1,9-2,Santiago Bernabeu,Madrid,España,NULL,NULL,Carlo Ancelotti,Jens Keller,NULL,NULL,,,,,,,Ronaldo 31'; Morata 75'; Bale 52'; Hoogland OG 87',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Cuartos,Ida,01-04-2014,NULL,NULL,Barcelona,Atletico Madrid,1-1,2-1,Camp Nou,Barcelona,España,NULL,NULL,Tata Martino,Diego Simeone,NULL,NULL,,,,,,,Neymar 71'; Diego 56',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Cuartos,Vuelta,09-04-2014,NULL,NULL,Atletico Madrid,Barcelona,1-0,2-1,Vicente Calderon,Madrid,España,NULL,NULL,Diego Simeone,Tata Martino,NULL,NULL,,,,,,,Koke 5',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Cuartos,Ida,01-04-2014,NULL,NULL,Manchester United,Bayern Munich,1-1,2-4,Old Trafford,Manchester,Inglaterra,NULL,NULL,David Moyes,Pep Guardiola,NULL,NULL,,,,,,,Vidic 58'; Schweinsteiger 67',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Cuartos,Vuelta,09-04-2014,NULL,NULL,Bayern Munich,Manchester United,3-1,4-2,Allianz Arena,Munich,Alemania,NULL,NULL,Pep Guardiola,David Moyes,NULL,NULL,,,,,,,Mandzukic 59'; Muller 68'; Robben 76'; Evra 57',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Cuartos,Ida,02-04-2014,NULL,NULL,Real Madrid,Borussia Dortmund,3-0,3-2,Santiago Bernabeu,Madrid,España,NULL,NULL,Carlo Ancelotti,Jurgen Klopp,NULL,NULL,,,,,,,Bale 3'; Isco 27'; Ronaldo 57',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Cuartos,Vuelta,08-04-2014,NULL,NULL,Borussia Dortmund,Real Madrid,2-0,2-3,Signal Iduna Park,Dortmund,Alemania,NULL,NULL,Jurgen Klopp,Carlo Ancelotti,NULL,NULL,,,,,,,Reus 24'; 37',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Cuartos,Ida,02-04-2014,NULL,NULL,PSG,Chelsea,3-1,3-3,Parc des Princes,Paris,Francia,NULL,NULL,Laurent Blanc,Jose Mourinho,NULL,NULL,,,,,,,Lavezzi 4'; Luiz OG 61'; Pastore 90'; Hazard 27',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Cuartos,Vuelta,08-04-2014,NULL,NULL,Chelsea,PSG,2-0,3-3,Stamford Bridge,Londres,Inglaterra,NULL,NULL,Jose Mourinho,Laurent Blanc,NULL,NULL,,,,,,,Schurrle 32'; Ba 87',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Semifinal,Ida,22-04-2014,NULL,NULL,Atletico Madrid,Chelsea,0-0,3-1,Vicente Calderon,Madrid,España,NULL,NULL,Diego Simeone,Jose Mourinho,NULL,NULL,,,,,,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Semifinal,Vuelta,30-04-2014,NULL,NULL,Chelsea,Atletico Madrid,1-3,1-3,Stamford Bridge,Londres,Inglaterra,NULL,NULL,Jose Mourinho,Diego Simeone,NULL,NULL,,,,,,,Torres 36'; Adrian 44'; Diego Costa 60'; Arda Turan 72',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Semifinal,Ida,23-04-2014,NULL,NULL,Real Madrid,Bayern Munich,1-0,5-0,Santiago Bernabeu,Madrid,España,NULL,NULL,Carlo Ancelotti,Pep Guardiola,NULL,NULL,,,,,,,Benzema 19',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Semifinal,Vuelta,29-04-2014,NULL,NULL,Bayern Munich,Real Madrid,0-4,0-5,Allianz Arena,Munich,Alemania,NULL,NULL,Pep Guardiola,Carlo Ancelotti,NULL,NULL,,,,,,,Ramos 16'; 20'; Ronaldo 34'; 90',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013-2014,Final,Final,24-05-2014,NULL,NULL,Real Madrid,Atletico Madrid,4-1,NULL,Estadio da Luz,Lisboa,Portugal,NULL,NULL,Carlo Ancelotti,Diego Simeone,NULL,NULL,,,,,,,Ramos 93'; Bale 110'; Marcelo 118'; Ronaldo 120'; Godin 36',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Octavos,Ida,17-02-2015,NULL,NULL,PSG,Chelsea,1-1,3-3,Parc des Princes,Paris,Francia,NULL,NULL,Laurent Blanc,Jose Mourinho,NULL,NULL,,,,,,,Cavani 54'; Ivanovic 36',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Octavos,Vuelta,11-03-2015,NULL,NULL,Chelsea,PSG,2-2,3-3,Stamford Bridge,Londres,Inglaterra,NULL,NULL,Jose Mourinho,Laurent Blanc,NULL,NULL,,,,,,,Cahill 81'; Hazard 96'; Luiz 86'; Thiago Silva 114',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Octavos,Ida,18-02-2015,NULL,NULL,Manchester City,Barcelona,1-2,1-3,Etihad Stadium,Manchester,Inglaterra,NULL,NULL,Manuel Pellegrini,Luis Enrique,NULL,NULL,,,,,,,Suarez 16'; 30'; Aguero 69',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Octavos,Vuelta,18-03-2015,NULL,NULL,Barcelona,Manchester City,1-0,3-1,Camp Nou,Barcelona,España,NULL,NULL,Luis Enrique,Manuel Pellegrini,NULL,NULL,,,,,,,Rakitic 31',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Octavos,Ida,24-02-2015,NULL,NULL,Bayer Leverkusen,Atletico Madrid,1-0,1-1,BayArena,Leverkusen,Alemania,NULL,NULL,Roger Schmidt,Diego Simeone,NULL,NULL,,,,,,,Calhanoglu 57',,NULL,NULL,Tiago,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Octavos,Vuelta,17-03-2015,NULL,NULL,Atletico Madrid,Bayer Leverkusen,1-0,1-1,Vicente Calderon,Madrid,España,NULL,NULL,Diego Simeone,Roger Schmidt,NULL,NULL,,,,,,,Garcia 27',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Octavos,Ida,24-02-2015,NULL,NULL,Arsenal,Monaco,1-3,3-3,Emirates Stadium,Londres,Inglaterra,NULL,NULL,Arsene Wenger,Leonardo Jardim,NULL,NULL,,,,,,,Oxlade-Chamberlain 90'; Kondogbia 38'; Berbatov 53'; Ferreira Carrasco 90',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Octavos,Vuelta,17-03-2015,NULL,NULL,Monaco,Arsenal,0-2,3-3,Stade Louis II,Monaco,Monaco,NULL,NULL,Leonardo Jardim,Arsene Wenger,NULL,NULL,,,,,,,Giroud 36'; Ramsey 79',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Octavos,Ida,25-02-2015,NULL,NULL,Shakhtar,Bayern Munich,0-0,0-7,Arena Lviv,Lviv,Ucrania,NULL,NULL,Mircea Lucescu,Pep Guardiola,NULL,NULL,,,,,,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Octavos,Vuelta,11-03-2015,NULL,NULL,Bayern Munich,Shakhtar,7-0,7-0,Allianz Arena,Munich,Alemania,NULL,NULL,Pep Guardiola,Mircea Lucescu,NULL,NULL,,,,,,,Muller 4'; 52'; Boateng 34'; Ribery 49'; Badstuber 63'; Lewandowski 75'; Gotze 87',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Octavos,Ida,25-02-2015,NULL,NULL,Schalke 04,Real Madrid,0-2,4-5,Veltins-Arena,Gelsenkirchen,Alemania,NULL,NULL,Roberto Di Matteo,Carlo Ancelotti,NULL,NULL,,,,,,,Ronaldo 26'; Marcelo 79',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Octavos,Vuelta,10-03-2015,NULL,NULL,Real Madrid,Schalke 04,3-4,5-4,Santiago Bernabeu,Madrid,España,NULL,NULL,Carlo Ancelotti,Roberto Di Matteo,NULL,NULL,,,,,,,Ronaldo 25'; 45'; Benzema 52'; Fuchs 20'; Huntelaar 40'; Sane 57'; Huntelaar 84',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Octavos,Ida,18-02-2015,NULL,NULL,Basel,Porto,1-1,1-5,St. Jakob-Park,Basilea,Suiza,NULL,NULL,Paulo Sousa,Julen Lopetegui,NULL,NULL,,,,,,,Gonzalez 11'; Danilo 79',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Octavos,Vuelta,10-03-2015,NULL,NULL,Porto,Basel,4-0,5-1,Estadio do Dragao,Porto,Portugal,NULL,NULL,Julen Lopetegui,Paulo Sousa,NULL,NULL,,,,,,,Brahimi 14'; Herrera 47'; Casemiro 56'; Aboubakar 76',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Octavos,Ida,17-02-2015,NULL,NULL,Juventus,Borussia Dortmund,2-1,5-1,Juventus Stadium,Turin,Italia,NULL,NULL,Massimiliano Allegri,Jurgen Klopp,NULL,NULL,,,,,,,Tevez 13'; Morata 43'; Reus 18',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Octavos,Vuelta,18-03-2015,NULL,NULL,Borussia Dortmund,Juventus,0-3,1-5,Signal Iduna Park,Dortmund,Alemania,NULL,NULL,Jurgen Klopp,Massimiliano Allegri,NULL,NULL,,,,,,,Tevez 3'; Morata 70'; Tevez 79',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Cuartos,Ida,14-04-2015,NULL,NULL,Atletico Madrid,Real Madrid,0-0,0-1,Vicente Calderon,Madrid,España,NULL,NULL,Diego Simeone,Carlo Ancelotti,NULL,NULL,,,,,,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Cuartos,Vuelta,22-04-2015,NULL,NULL,Real Madrid,Atletico Madrid,1-0,1-0,Santiago Bernabeu,Madrid,España,NULL,NULL,Carlo Ancelotti,Diego Simeone,NULL,NULL,,,,,,,Chicharito 88',,NULL,NULL,Arda Turan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Cuartos,Ida,14-04-2015,NULL,NULL,PSG,Barcelona,1-3,1-5,Parc des Princes,Paris,Francia,NULL,NULL,Laurent Blanc,Luis Enrique,NULL,NULL,,,,,,,Neymar 18'; 34'; Suarez 67'; Van der Wiel 82',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Cuartos,Vuelta,21-04-2015,NULL,NULL,Barcelona,PSG,2-0,5-1,Camp Nou,Barcelona,España,NULL,NULL,Luis Enrique,Laurent Blanc,NULL,NULL,,,,,,,Neymar 14'; 34',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Cuartos,Ida,15-04-2015,NULL,NULL,Porto,Bayern Munich,3-1,4-7,Estadio do Dragao,Porto,Portugal,NULL,NULL,Julen Lopetegui,Pep Guardiola,NULL,NULL,,,,,,,Quaresma 3'; 10'; Martinez 65'; Thiago 28',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Cuartos,Vuelta,21-04-2015,NULL,NULL,Bayern Munich,Porto,6-1,7-4,Allianz Arena,Munich,Alemania,NULL,NULL,Pep Guardiola,Julen Lopetegui,NULL,NULL,,,,,,,Thiago 14'; Boateng 22'; Lewandowski 27'; Muller 36'; Alonso 40'; Lewandowski 64'; Martinez 73',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Cuartos,Ida,15-04-2015,NULL,NULL,Juventus,Monaco,1-0,1-0,Juventus Stadium,Turin,Italia,NULL,NULL,Massimiliano Allegri,Leonardo Jardim,NULL,NULL,,,,,,,Vidal 57',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Cuartos,Vuelta,22-04-2015,NULL,NULL,Monaco,Juventus,0-0,0-1,Stade Louis II,Monaco,Monaco,NULL,NULL,Leonardo Jardim,Massimiliano Allegri,NULL,NULL,,,,,,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Semifinal,Ida,05-05-2015,NULL,NULL,Juventus,Real Madrid,2-1,3-2,Juventus Stadium,Turin,Italia,NULL,NULL,Massimiliano Allegri,Carlo Ancelotti,NULL,NULL,,,,,,,Morata 8'; Tevez 58'; Ronaldo 27',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Semifinal,Vuelta,13-05-2015,NULL,NULL,Real Madrid,Juventus,1-1,2-3,Santiago Bernabeu,Madrid,España,NULL,NULL,Carlo Ancelotti,Massimiliano Allegri,NULL,NULL,,,,,,,Ronaldo 23'; Morata 57',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Semifinal,Ida,06-05-2015,NULL,NULL,Barcelona,Bayern Munich,3-0,5-3,Camp Nou,Barcelona,España,NULL,NULL,Luis Enrique,Pep Guardiola,NULL,NULL,,,,,,,Messi 77'; 80'; Neymar 90',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Semifinal,Vuelta,12-05-2015,NULL,NULL,Bayern Munich,Barcelona,3-2,3-5,Allianz Arena,Munich,Alemania,NULL,NULL,Pep Guardiola,Luis Enrique,NULL,NULL,,,,,,,Benatia 7'; Lewandowski 59'; Muller 74'; Neymar 15'; 29',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014-2015,Final,Final,06-06-2015,NULL,NULL,Barcelona,Juventus,3-1,NULL,Olympiastadion,Berlin,Alemania,NULL,NULL,Luis Enrique,Massimiliano Allegri,NULL,NULL,,,,,,,Rakitic 4'; Suarez 68'; Neymar 90'; Morata 55',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Octavos,Ida,16-02-2016,NULL,NULL,PSG,Chelsea,2-1,4-2,Parc des Princes,Paris,Francia,NULL,NULL,Laurent Blanc,Guus Hiddink,NULL,NULL,,,,,,,Ibrahimovic 39'; Cavani 78'; Obi Mikel 45',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Octavos,Vuelta,09-03-2016,NULL,NULL,Chelsea,PSG,1-2,2-4,Stamford Bridge,Londres,Inglaterra,NULL,NULL,Guus Hiddink,Laurent Blanc,NULL,NULL,,,,,,,Costa 27'; Rabiot 16'; Ibrahimovic 67',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Octavos,Ida,17-02-2016,NULL,NULL,Roma,Real Madrid,0-2,0-4,Stadio Olimpico,Roma,Italia,NULL,NULL,Luciano Spalletti,Zinedine Zidane,NULL,NULL,,,,,,,Ronaldo 57'; Jese 86',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Octavos,Vuelta,08-03-2016,NULL,NULL,Real Madrid,Roma,2-0,4-0,Santiago Bernabeu,Madrid,España,NULL,NULL,Zinedine Zidane,Luciano Spalletti,NULL,NULL,,,,,,,Ronaldo 64'; James 68',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Octavos,Ida,23-02-2016,NULL,NULL,Arsenal,Barcelona,0-2,1-5,Emirates Stadium,Londres,Inglaterra,NULL,NULL,Arsene Wenger,Luis Enrique,NULL,NULL,,,,,,,Messi 71'; 83',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Octavos,Vuelta,16-03-2016,NULL,NULL,Barcelona,Arsenal,3-1,5-1,Camp Nou,Barcelona,España,NULL,NULL,Luis Enrique,Arsene Wenger,NULL,NULL,,,,,,,Neymar 18'; Suarez 65'; Messi 88'; Elneny 51',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016,Octavos,Ida,23-02-2016,NULL,NULL,Juventus,Bayern Munich,2-2,4-6,Juventus Stadium,Turin,Italia,NULL,NULL,Massimiliano Allegri,Pep Guardiola,NULL,NULL,,,,,,,Dybala 63'; Sturaro 76'; Muller 43'; Robben 55',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
